"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Массовая проверка (9 ключей): test_three_extra_in_property","tests","Thu Mar 12 06:26:03 UTC 2026","passed","Thu Mar 12 06:26:03 UTC 2026","","tests_unregister_fields_json_schema","",""
"","1","Негативный тест: test_missing_two_fields","tests","Thu Mar 12 06:26:02 UTC 2026","passed","Thu Mar 12 06:26:02 UTC 2026","","tests_missing_fields_json_schema","",""
"","1","Позитивный тест имени: correct_function_name","tests","Thu Mar 12 06:26:02 UTC 2026","passed","Thu Mar 12 06:26:02 UTC 2026","","tests_function_name_mismatch_func_shema","",""
"","1","Позитивный тест имени: function_name","tests","Thu Mar 12 06:26:02 UTC 2026","passed","Thu Mar 12 06:26:02 UTC 2026","","tests_invalid_function_signature_func_shema","",""
"","2","Успешный маппинг типа: test_sync_type_null","tests","Thu Mar 12 06:26:03 UTC 2026","passed","Thu Mar 12 06:26:03 UTC 2026","","tests_type_mismatch_json_to_python_json_schema","",""
"","0","Структурная ошибка: test_missing_description_level_1_field","tests","Thu Mar 12 06:26:02 UTC 2026","passed","Thu Mar 12 06:26:02 UTC 2026","","tests_missing_fields_json_schema","",""
"","2","Одиночный лишний ключ: test_extra_property_field","tests","Thu Mar 12 06:26:03 UTC 2026","passed","Thu Mar 12 06:26:03 UTC 2026","","tests_unregister_fields_json_schema","",""
"","1","Структурная ошибка: test_missing_parameters_fields","tests","Thu Mar 12 06:26:02 UTC 2026","passed","Thu Mar 12 06:26:02 UTC 2026","","tests_missing_fields_json_schema","",""
"","1","Структурная ошибка: test_missing_type_level_2_fields","tests","Thu Mar 12 06:26:02 UTC 2026","passed","Thu Mar 12 06:26:02 UTC 2026","","tests_missing_fields_json_schema","",""
"","1","Негативный тест имени: function_name","tests","Thu Mar 12 06:26:02 UTC 2026","passed","Thu Mar 12 06:26:02 UTC 2026","","tests_invalid_function_signature_func_shema","",""
"","1","Негативный тест имени: function_name","tests","Thu Mar 12 06:26:02 UTC 2026","passed","Thu Mar 12 06:26:02 UTC 2026","","tests_invalid_function_signature_func_shema","",""
"","1","Негативный тест имени: function_name","tests","Thu Mar 12 06:26:02 UTC 2026","passed","Thu Mar 12 06:26:02 UTC 2026","","tests_invalid_function_signature_func_shema","",""
"","1","Одиночный лишний ключ: test_extra_root_field","tests","Thu Mar 12 06:26:03 UTC 2026","passed","Thu Mar 12 06:26:03 UTC 2026","","tests_unregister_fields_json_schema","",""
"","2","Комбо уровней: test_extra_root_and_parameters","tests","Thu Mar 12 06:26:03 UTC 2026","passed","Thu Mar 12 06:26:03 UTC 2026","","tests_unregister_fields_json_schema","",""
"","1","Одиночный лишний ключ: test_extra_parameters_field","tests","Thu Mar 12 06:26:03 UTC 2026","passed","Thu Mar 12 06:26:03 UTC 2026","","tests_unregister_fields_json_schema","",""
"","1","Массовая проверка (9 ключей): test_triple_extra_on_all_levels","tests","Thu Mar 12 06:26:03 UTC 2026","passed","Thu Mar 12 06:26:03 UTC 2026","","tests_unregister_fields_json_schema","",""
"","1","Успешный маппинг типа: test_sync_type_boolean","tests","Thu Mar 12 06:26:03 UTC 2026","passed","Thu Mar 12 06:26:03 UTC 2026","","tests_type_mismatch_json_to_python_json_schema","",""
"","1","Массовая проверка (9 ключей): test_three_extra_at_root","tests","Thu Mar 12 06:26:03 UTC 2026","passed","Thu Mar 12 06:26:03 UTC 2026","","tests_unregister_fields_json_schema","",""
"","2","Позитивный тест: test_all_required_fields","tests","Thu Mar 12 06:26:02 UTC 2026","passed","Thu Mar 12 06:26:02 UTC 2026","","tests_missing_fields_json_schema","",""
"","1","Позитивный тест: test_all_fields","tests","Thu Mar 12 06:26:03 UTC 2026","passed","Thu Mar 12 06:26:03 UTC 2026","","tests_unregister_fields_json_schema","",""
"","1","Ошибка типа: test_type_mismatch_date","tests","Thu Mar 12 06:26:02 UTC 2026","passed","Thu Mar 12 06:26:02 UTC 2026","","tests_type_mismatch_json_to_python_json_schema","",""
"","1","Успешный маппинг типа: test_sync_type_number","tests","Thu Mar 12 06:26:03 UTC 2026","passed","Thu Mar 12 06:26:03 UTC 2026","","tests_type_mismatch_json_to_python_json_schema","",""
"","1","Комбо уровней: test_extra_root_and_property","tests","Thu Mar 12 06:26:03 UTC 2026","passed","Thu Mar 12 06:26:03 UTC 2026","","tests_unregister_fields_json_schema","",""
"","1","Негативный тест: test_missing_fields_description","tests","Thu Mar 12 06:26:02 UTC 2026","passed","Thu Mar 12 06:26:02 UTC 2026","","tests_missing_fields_json_schema","",""
"","1","Успешный маппинг типа: test_sync_type_array","tests","Thu Mar 12 06:26:03 UTC 2026","passed","Thu Mar 12 06:26:03 UTC 2026","","tests_type_mismatch_json_to_python_json_schema","",""
